id,year,quarter,age,gender,income_level,education_level,visit_frequency,social_media,favorite_product_id,rating,comment,positive_comment
1,2023,3,39,false,3,4,3,2,3,2,"Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",true
2,2023,1,23,true,1,2,4,2,8,5,Suspendisse ornare consequat lectus.,false
3,2020,2,25,true,1,4,4,3,4,1,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",true
4,2017,1,43,false,3,4,4,1,10,0,Integer tincidunt ante vel ipsum.,false
5,2021,3,42,false,4,3,7,3,8,1,Etiam vel augue.,true
6,2021,1,20,true,3,3,6,2,6,3,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,false
7,2021,4,43,true,4,3,4,3,3,0,"Fusce lacus purus, aliquet at, feugiat non, pretium quis, lectus. Suspendisse potenti.",true
8,2023,1,40,true,4,4,1,3,6,3,Curabitur at ipsum ac tellus semper interdum.,true
9,2017,1,21,true,3,4,7,2,5,3,"In blandit ultrices enim. Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",false
10,2020,3,48,false,5,6,4,2,9,4,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",true
11,2017,4,34,true,1,3,5,3,6,4,Aliquam non mauris. Morbi non lectus.,true
12,2021,4,44,false,4,3,7,1,10,4,In hac habitasse platea dictumst.,true
13,2022,4,23,false,1,3,7,3,6,2,Nulla mollis molestie lorem.,true
14,2021,1,16,true,2,2,4,2,4,2,In hac habitasse platea dictumst.,false
15,2017,4,13,false,3,3,3,1,8,2,Nulla tellus. In sagittis dui vel nisl.,true
16,2017,1,50,false,3,3,6,2,8,5,Integer a nibh.,true
17,2021,4,37,false,1,5,2,3,4,4,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede.",true
18,2018,4,24,false,2,1,6,2,6,2,Nulla facilisi. Cras non velit nec nisi vulputate nonummy.,true
19,2022,4,14,false,3,6,4,3,5,4,Donec semper sapien a libero. Nam dui.,true
20,2023,1,24,false,2,1,7,3,8,5,Donec semper sapien a libero.,false
21,2020,3,45,false,1,1,1,1,10,5,Aliquam quis turpis eget elit sodales scelerisque. Mauris sit amet eros.,false
22,2019,1,26,true,4,4,1,1,7,2,Pellentesque viverra pede ac diam. Cras pellentesque volutpat dui.,false
23,2020,2,40,false,2,3,7,2,3,1,Integer ac neque.,true
24,2023,3,47,false,2,4,7,2,3,3,Nulla suscipit ligula in lacus. Curabitur at ipsum ac tellus semper interdum.,false
25,2019,2,33,true,2,5,3,3,2,3,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,true
26,2018,3,42,true,3,4,5,1,5,5,"Aliquam sit amet diam in magna bibendum imperdiet. Nullam orci pede, venenatis non, sodales sed, tincidunt eu, felis.",true
27,2022,1,23,true,1,4,7,1,5,2,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,true
28,2017,2,14,false,5,2,2,3,7,3,Suspendisse accumsan tortor quis turpis.,false
29,2022,4,36,true,1,6,5,2,1,3,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,true
30,2020,2,32,true,2,3,2,2,8,4,Nullam molestie nibh in lectus.,false
31,2018,2,34,true,5,6,2,2,3,3,Aliquam non mauris.,true
32,2023,1,21,false,4,1,2,3,6,0,Praesent id massa id nisl venenatis lacinia.,false
33,2022,2,30,true,2,5,3,2,1,2,Nullam molestie nibh in lectus.,false
34,2021,2,15,true,4,4,7,2,2,1,Curabitur convallis.,true
35,2018,3,49,false,1,2,3,1,7,4,Curabitur gravida nisi at nibh.,false
36,2020,1,45,true,5,5,5,1,9,2,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",true
37,2022,4,13,false,5,4,2,2,2,0,Proin eu mi. Nulla ac enim.,false
38,2020,1,28,false,3,2,2,2,8,5,Suspendisse potenti. In eleifend quam a odio.,false
39,2018,2,33,false,1,1,6,1,5,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio.,false
40,2021,2,14,false,4,3,7,2,9,1,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",true
41,2023,2,31,false,2,1,7,1,7,5,"Mauris ullamcorper purus sit amet nulla. Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",false
42,2020,3,13,false,3,4,6,3,7,4,Integer ac neque.,true
43,2022,2,41,false,3,6,6,1,2,4,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",false
44,2018,3,27,true,3,3,3,2,8,1,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,true
45,2018,2,46,true,5,3,1,1,9,2,Phasellus in felis. Donec semper sapien a libero.,true
46,2019,2,49,false,1,1,7,3,2,1,In hac habitasse platea dictumst. Etiam faucibus cursus urna.,true
47,2023,3,39,true,3,4,5,1,4,5,"In tempor, turpis nec euismod scelerisque, quam turpis adipiscing lorem, vitae mattis nibh ligula nec sem.",true
48,2020,3,24,false,2,4,7,3,8,1,"Donec ut mauris eget massa tempor convallis. Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",true
49,2023,3,16,false,5,4,4,1,6,0,Morbi non quam nec dui luctus rutrum.,true
50,2021,4,19,false,2,6,2,3,1,0,Phasellus sit amet erat.,false
51,2021,3,24,true,3,4,4,3,7,4,Aliquam sit amet diam in magna bibendum imperdiet.,true
52,2022,2,31,false,4,3,7,2,1,5,Etiam pretium iaculis justo.,false
53,2020,1,14,true,1,3,7,3,4,3,Curabitur at ipsum ac tellus semper interdum.,true
54,2018,4,16,true,2,5,5,2,2,2,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,true
55,2021,3,37,false,5,4,6,1,1,5,Duis aliquam convallis nunc. Proin at turpis a pede posuere nonummy.,false
56,2021,1,23,true,5,6,4,1,2,4,Maecenas ut massa quis augue luctus tincidunt.,false
57,2022,1,48,true,4,5,7,3,3,1,Maecenas pulvinar lobortis est.,false
58,2018,2,47,false,5,4,5,3,5,5,Mauris ullamcorper purus sit amet nulla.,true
59,2021,2,32,true,3,1,7,3,3,5,Aenean fermentum.,true
60,2022,4,21,true,2,2,1,3,7,0,Curabitur in libero ut massa volutpat convallis.,true
61,2020,2,29,true,4,3,2,1,10,5,"Cum sociis natoque penatibus et magnis dis parturient montes, nascetur ridiculus mus.",false
62,2019,4,32,false,3,3,2,1,9,5,Aenean fermentum.,true
63,2020,2,42,false,3,6,7,1,10,2,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo.",true
64,2023,3,21,false,1,1,7,3,6,1,Donec ut mauris eget massa tempor convallis.,false
65,2018,2,41,true,2,3,2,2,3,0,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,true
66,2021,2,16,true,4,1,3,3,7,0,"Donec diam neque, vestibulum eget, vulputate ut, ultrices vel, augue. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Donec pharetra, magna vestibulum aliquet ultrices, erat tortor sollicitudin mi, sit amet lobortis sapien sapien non mi.",false
67,2020,3,16,false,3,3,6,3,8,4,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,true
68,2018,2,44,false,4,5,4,2,10,4,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,false
69,2023,4,32,false,3,6,7,2,8,5,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,true
70,2023,1,24,true,2,1,1,3,7,1,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,false
71,2023,2,36,true,1,5,7,2,5,2,Maecenas rhoncus aliquam lacus.,true
72,2021,2,47,true,3,6,7,3,2,1,Aenean lectus.,false
73,2021,3,26,true,4,3,6,2,5,5,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",false
74,2019,3,47,true,2,5,5,2,8,2,Aliquam non mauris. Morbi non lectus.,true
75,2023,1,49,false,1,5,5,2,10,3,Suspendisse potenti. In eleifend quam a odio.,true
76,2021,1,48,true,1,5,5,1,8,4,"Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla. Nunc purus.",false
77,2020,1,13,false,4,6,6,2,6,1,Integer tincidunt ante vel ipsum. Praesent blandit lacinia erat.,false
78,2023,2,37,false,5,4,2,3,8,0,In quis justo. Maecenas rhoncus aliquam lacus.,false
79,2022,1,23,false,4,6,6,2,6,5,Quisque ut erat.,false
80,2022,2,50,false,2,5,6,3,1,3,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,false
81,2019,2,39,false,5,1,4,3,8,1,Quisque porta volutpat erat.,false
82,2021,1,18,true,1,1,6,3,5,3,Vestibulum sed magna at nunc commodo placerat.,true
83,2018,1,47,false,1,3,6,3,10,2,Morbi non lectus.,true
84,2020,2,46,true,5,6,4,1,7,1,Etiam vel augue.,false
85,2018,2,47,false,5,5,6,3,9,4,Donec ut dolor. Morbi vel lectus in quam fringilla rhoncus.,false
86,2019,4,37,false,5,3,6,1,8,4,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,false
87,2021,3,41,true,3,5,7,1,3,3,Aliquam quis turpis eget elit sodales scelerisque.,false
88,2017,1,42,true,5,5,3,3,7,4,"Suspendisse ornare consequat lectus. In est risus, auctor sed, tristique in, tempus sit amet, sem.",true
89,2018,4,43,false,3,1,4,3,10,1,Donec semper sapien a libero.,false
90,2022,3,33,true,2,2,3,1,6,4,In quis justo.,false
91,2021,3,42,true,5,1,7,3,1,0,Phasellus id sapien in sapien iaculis congue.,false
92,2020,2,17,true,1,3,2,3,8,0,Vestibulum sed magna at nunc commodo placerat. Praesent blandit.,true
93,2023,2,29,true,4,5,6,1,5,4,"Mauris enim leo, rhoncus sed, vestibulum sit amet, cursus id, turpis. Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",true
94,2023,3,41,false,1,4,7,3,7,2,Ut at dolor quis odio consequat varius.,false
95,2022,3,14,true,4,4,7,1,3,5,Morbi porttitor lorem id ligula.,true
96,2020,4,34,true,4,3,3,2,10,0,"Morbi quis tortor id nulla ultrices aliquet. Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo.",false
97,2022,2,47,true,2,3,7,1,10,5,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",false
98,2019,2,23,false,4,6,6,3,9,5,Suspendisse potenti. Cras in purus eu magna vulputate luctus.,true
99,2023,2,37,false,2,4,3,3,10,5,Nam dui.,true
100,2021,3,45,true,1,5,4,3,1,0,Integer ac neque.,true
101,2023,3,29,false,5,5,5,2,6,3,Nullam porttitor lacus at turpis. Donec posuere metus vitae ipsum.,true
102,2021,4,14,true,2,5,1,1,4,3,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,false
103,2018,2,20,false,4,3,5,2,7,2,Maecenas rhoncus aliquam lacus. Morbi quis tortor id nulla ultrices aliquet.,false
104,2020,3,40,false,1,5,3,3,6,4,Quisque ut erat.,true
105,2021,3,13,true,5,5,7,2,1,3,In hac habitasse platea dictumst.,true
106,2021,2,29,false,4,1,3,3,1,2,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",true
107,2019,4,48,true,5,4,2,1,3,5,In hac habitasse platea dictumst. Maecenas ut massa quis augue luctus tincidunt.,false
108,2021,1,36,true,3,6,6,1,3,0,Aenean fermentum. Donec ut mauris eget massa tempor convallis.,true
109,2023,3,14,false,1,6,1,1,4,3,Suspendisse potenti.,false
110,2019,1,14,false,5,5,3,1,8,3,Morbi a ipsum. Integer a nibh.,false
111,2023,2,50,true,4,1,4,3,10,2,Etiam justo.,true
112,2020,2,46,true,5,1,7,2,10,4,"Quisque porta volutpat erat. Quisque erat eros, viverra eget, congue eget, semper rutrum, nulla.",true
113,2023,1,35,true,4,4,5,2,1,5,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",false
114,2023,4,24,true,2,6,3,1,3,0,Pellentesque ultrices mattis odio. Donec vitae nisi.,true
115,2022,3,46,false,3,6,4,3,9,3,Sed vel enim sit amet nunc viverra dapibus.,false
116,2022,4,48,true,5,6,1,1,1,4,Nullam varius.,false
117,2022,2,43,true,1,5,5,1,10,5,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,true
118,2021,3,34,false,2,2,4,2,3,5,"Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est. Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",false
119,2019,3,38,false,3,1,3,3,10,0,Nam dui.,true
120,2021,1,34,false,4,3,4,1,10,4,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",false
121,2017,2,31,true,2,2,3,2,4,0,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,true
122,2020,1,39,false,2,3,2,3,7,1,Pellentesque viverra pede ac diam.,false
123,2017,3,38,false,4,5,7,2,2,3,Nulla facilisi.,false
124,2020,1,42,false,4,1,6,1,6,3,Ut at dolor quis odio consequat varius.,true
125,2023,4,39,false,4,5,1,3,10,5,Aenean lectus. Pellentesque eget nunc.,true
126,2018,3,33,false,1,1,2,1,6,0,Pellentesque eget nunc. Donec quis orci eget orci vehicula condimentum.,true
127,2020,3,45,true,5,4,3,1,4,1,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",true
128,2022,4,17,false,3,5,1,2,3,3,Aenean lectus.,false
129,2023,1,49,true,5,5,2,2,8,5,Etiam vel augue.,true
130,2022,3,27,false,4,2,1,1,4,0,Curabitur at ipsum ac tellus semper interdum.,true
131,2019,2,16,true,3,4,3,1,2,3,Curabitur convallis. Duis consequat dui nec nisi volutpat eleifend.,false
132,2018,4,27,true,2,6,7,2,10,4,Etiam pretium iaculis justo.,true
133,2017,1,21,false,3,6,1,3,1,1,Quisque id justo sit amet sapien dignissim vestibulum. Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Nulla dapibus dolor vel est.,false
134,2019,4,30,false,4,4,3,2,3,0,Nulla mollis molestie lorem. Quisque ut erat.,true
135,2023,3,21,false,4,3,7,1,9,5,Duis mattis egestas metus. Aenean fermentum.,false
136,2021,1,27,false,5,6,6,3,2,2,In quis justo. Maecenas rhoncus aliquam lacus.,true
137,2017,1,22,false,1,5,2,2,4,3,Nulla ac enim.,false
138,2017,4,39,false,3,5,5,1,10,0,Nam tristique tortor eu pede.,true
139,2020,2,17,false,3,3,5,2,10,3,"Duis bibendum, felis sed interdum venenatis, turpis enim blandit mi, in porttitor pede justo eu massa. Donec dapibus.",false
140,2017,1,26,false,4,2,2,3,7,5,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,false
141,2019,2,43,false,5,4,3,1,1,0,"Morbi sem mauris, laoreet ut, rhoncus aliquet, pulvinar sed, nisl. Nunc rhoncus dui vel sem.",false
142,2020,1,23,true,2,6,3,2,3,0,In eleifend quam a odio.,false
143,2020,3,40,false,3,1,3,1,3,0,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue.",true
144,2021,1,31,true,3,1,6,2,9,4,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,false
145,2020,2,13,true,2,3,5,3,4,5,Suspendisse ornare consequat lectus.,true
146,2022,4,34,false,4,1,1,3,2,4,Nunc purus. Phasellus in felis.,true
147,2023,3,21,false,5,3,4,2,5,0,Pellentesque viverra pede ac diam.,false
148,2017,2,37,true,3,1,3,1,9,2,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit.",true
149,2022,3,13,true,3,2,3,1,5,3,"Donec odio justo, sollicitudin ut, suscipit a, feugiat et, eros.",false
150,2017,4,15,true,2,4,4,1,4,0,Aliquam quis turpis eget elit sodales scelerisque.,true
151,2022,3,42,true,4,6,7,2,7,1,"Praesent lectus. Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",true
152,2020,3,22,false,1,2,1,2,1,4,Vivamus tortor.,false
153,2020,1,19,true,5,5,3,2,3,2,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",true
154,2017,3,27,false,1,6,1,3,8,3,Vivamus in felis eu sapien cursus vestibulum.,false
155,2020,1,22,false,5,6,6,2,6,4,Aliquam non mauris. Morbi non lectus.,true
156,2020,1,13,false,1,1,7,2,8,3,Nullam sit amet turpis elementum ligula vehicula consequat. Morbi a ipsum.,true
157,2020,3,36,true,1,4,6,1,10,0,Vivamus vel nulla eget eros elementum pellentesque. Quisque porta volutpat erat.,true
158,2019,4,49,true,5,3,2,1,5,1,In sagittis dui vel nisl. Duis ac nibh.,true
159,2020,4,50,false,1,6,7,1,5,2,Etiam faucibus cursus urna. Ut tellus.,true
160,2023,1,44,true,2,5,2,1,6,5,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam.,true
161,2017,4,31,false,1,6,7,2,4,0,Etiam faucibus cursus urna. Ut tellus.,false
162,2019,1,29,true,2,3,6,2,5,0,"Vestibulum quam sapien, varius ut, blandit non, interdum in, ante.",true
163,2017,3,20,false,3,3,7,2,2,2,"Integer pede justo, lacinia eget, tincidunt eget, tempus vel, pede. Morbi porttitor lorem id ligula.",true
164,2023,2,14,false,1,3,2,2,4,2,Maecenas pulvinar lobortis est. Phasellus sit amet erat.,false
165,2023,1,50,true,5,1,3,2,10,0,"Nulla neque libero, convallis eget, eleifend luctus, ultricies eu, nibh.",false
166,2023,2,16,false,1,1,4,3,9,0,Morbi ut odio.,true
167,2019,2,15,true,1,6,6,2,3,3,Mauris sit amet eros.,true
168,2021,1,32,false,1,1,6,3,5,1,Nulla justo. Aliquam quis turpis eget elit sodales scelerisque.,true
169,2023,4,23,true,1,5,4,3,1,1,"Maecenas leo odio, condimentum id, luctus nec, molestie sed, justo. Pellentesque viverra pede ac diam.",true
170,2021,1,28,false,4,1,7,1,7,0,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl. Aenean lectus.",true
171,2017,2,24,true,2,6,1,1,5,2,Morbi non quam nec dui luctus rutrum. Nulla tellus.,true
172,2020,4,30,true,3,6,4,2,9,0,"Nam dui. Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",false
173,2020,4,34,true,3,6,6,3,8,3,Integer ac neque.,true
174,2019,1,22,false,2,2,4,3,1,1,Phasellus id sapien in sapien iaculis congue.,true
175,2017,3,13,false,3,2,5,1,1,1,Vivamus vel nulla eget eros elementum pellentesque.,false
176,2021,3,19,false,3,5,6,2,7,0,"Proin leo odio, porttitor id, consequat in, consequat ut, nulla.",false
177,2017,3,40,true,3,2,1,1,5,4,In sagittis dui vel nisl. Duis ac nibh.,true
178,2020,1,39,true,5,5,1,1,8,4,Nunc purus. Phasellus in felis.,false
179,2017,4,46,true,2,4,1,1,2,4,Phasellus sit amet erat.,true
180,2020,2,28,true,2,6,1,2,8,2,Mauris sit amet eros. Suspendisse accumsan tortor quis turpis.,false
181,2018,2,33,false,3,1,1,1,1,0,"Integer aliquet, massa id lobortis convallis, tortor risus dapibus augue, vel accumsan tellus nisi eu orci.",true
182,2022,2,23,true,2,6,7,2,3,0,Sed ante. Vivamus tortor.,true
183,2019,1,47,false,3,4,4,3,6,5,In hac habitasse platea dictumst.,false
184,2021,3,23,false,4,5,3,3,2,4,Duis mattis egestas metus.,false
185,2019,3,34,true,2,1,3,3,7,4,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Mauris viverra diam vitae quam. Suspendisse potenti.,false
186,2020,4,49,true,5,3,4,1,8,4,Nulla mollis molestie lorem.,true
187,2022,3,30,false,2,5,7,1,7,1,Suspendisse potenti. In eleifend quam a odio.,false
188,2017,3,36,false,1,3,4,1,1,5,Vestibulum ante ipsum primis in faucibus orci luctus et ultrices posuere cubilia Curae; Duis faucibus accumsan odio. Curabitur convallis.,true
189,2021,3,22,true,3,6,6,1,7,3,Nulla mollis molestie lorem. Quisque ut erat.,false
190,2021,3,36,false,5,5,2,3,3,0,Vivamus vel nulla eget eros elementum pellentesque.,true
191,2017,2,24,false,5,4,7,2,7,2,"In est risus, auctor sed, tristique in, tempus sit amet, sem.",false
192,2019,1,49,false,2,4,2,3,4,3,"Nam congue, risus semper porta volutpat, quam pede lobortis ligula, sit amet eleifend pede libero quis orci.",false
193,2017,1,18,false,2,4,7,3,6,3,Morbi porttitor lorem id ligula. Suspendisse ornare consequat lectus.,false
194,2019,1,13,false,3,1,7,3,5,0,Vivamus in felis eu sapien cursus vestibulum.,true
195,2021,1,33,false,1,1,7,2,7,5,"Vivamus metus arcu, adipiscing molestie, hendrerit at, vulputate vitae, nisl.",false
196,2022,3,48,false,4,5,4,2,10,3,"Quisque arcu libero, rutrum ac, lobortis vel, dapibus at, diam.",false
197,2019,3,44,true,1,4,1,1,1,4,Vivamus tortor.,true
198,2022,2,16,true,4,2,5,3,3,3,"Lorem ipsum dolor sit amet, consectetuer adipiscing elit. Proin risus.",false
199,2020,4,35,false,2,2,6,1,6,2,"Morbi odio odio, elementum eu, interdum eu, tincidunt in, leo. Maecenas pulvinar lobortis est.",true
200,2021,4,35,true,3,1,1,2,1,5,"Aliquam augue quam, sollicitudin vitae, consectetuer eget, rutrum at, lorem.",false
201,2017,3,36,true,1,2,6,1,1,5,"Fusce congue, diam id ornare imperdiet, sapien urna pretium nisl, ut volutpat sapien arcu sed augue. Aliquam erat volutpat.",false
